Day;Type;F0;Fj;Fm;FI;F300mks;F50mks;t(Fm);Vj;VI;phi P0 (Fv/Fm);phi E0;phi R0;phi D0;psi E0;dalta R0;M0;ABS/RC;TR0/RC;DI0/RC;ET0/RC;RE0/RC;RC/CS0;Am;SM;SS;N;Vav
5;Fe+N-;0.742;1.558;2.705;2.389;1.463;0.827;138;0.41569027;0.839021905;0.725693161;0.424029575;0.116820702;0.274306839;0.58430973;0.275501308;1.469179827;4.870259107;3.534313725;1.335945382;2.065133899;0.56894709;0.15235329;27.37;13.94294447;0.282940361;49.27874002;0.89896417
5;Fe+N-;0.735;1.453;2.584;2.315;1.369;0.824;206;0.38831801;0.854515955;0.715557276;0.437693498;0.104102167;0.284442724;0.61168199;0.237842617;1.37155219;4.936059693;3.532033426;1.404026267;2.160481236;0.513854511;0.148904196;31.922;17.26446728;0.283123028;60.97867552;0.916191906
5;Fe+N-;0.713;1.423;2.494;2.22;1.327;0.807;188;0.398652442;0.846153846;0.714113873;0.429430634;0.109863673;0.285886127;0.601347558;0.255835668;1.379000561;4.843982254;3.45915493;1.384827324;2.080154368;0.532177681;0.147192942;27.965;15.70185289;0.289087948;54.31514183;0.916479506
5;Fe+N-;0.798;1.636;2.619;2.392;1.538;0.907;137;0.460186711;0.875343218;0.695303551;0.375334097;0.086674303;0.304696449;0.539813289;0.230925738;1.625480505;5.080111507;3.53221957;1.547891937;1.906739065;0.440315125;0.157083166;19.794;10.86985173;0.283108108;38.39470301;0.920658017
5;Fe+N-;0.824;1.652;2.658;2.457;1.573;0.941;149;0.451472192;0.89040349;0.689992476;0.37848006;0.075620767;0.310007524;0.548527808;0.199801193;1.633587786;5.244053546;3.618357488;1.625696058;1.984769702;0.396559354;0.157130356;19.958;10.88222465;0.276368491;39.37577903;0.926964935
5;Fe+N-;0.715;1.322;2.446;2.192;1.3;0.8;218;0.350664356;0.853264009;0.707686018;0.459525756;0.103843009;0.292313982;0.649335644;0.225978648;1.351819757;5.447365942;3.855024712;1.59234123;2.503204954;0.56567087;0.131256098;27.845;16.08607741;0.259401709;62.01222594;0.926210654
5;Fe+N-;0.77;1.624;2.513;2.331;1.491;0.873;191;0.489959839;0.895582329;0.693593315;0.353760446;0.072423398;0.306406685;0.510040161;0.204724409;1.654618474;4.868918296;3.37704918;1.491869116;1.722430706;0.352623609;0.15814601;20.976;12.03442341;0.296116505;40.64083971;0.936992548
5;Fe+N-;0.746;1.492;2.558;2.269;1.411;0.849;180;0.411699779;0.840507726;0.708365911;0.416731822;0.11297889;0.291634089;0.588300221;0.271106942;1.46799117;5.033674816;3.565683646;1.46799117;2.097692476;0.568698992;0.148201866;28.724;15.85209713;0.280451128;56.52356349;0.911932794
5;Fe+N-;0.787;1.639;2.619;2.381;1.488;0.888;191;0.465065502;0.870087336;0.699503627;0.374188622;0.09087438;0.300496373;0.534934498;0.242857143;1.530567686;4.704878836;3.291079812;1.413799024;1.760512127;0.427552945;0.167273171;27.758;15.15174672;0.303851641;49.86560777;0.920671483
5;Fe-N-;0.815;1.628;2.51;2.307;1.537;0.928;107;0.479646018;0.880235988;0.675298805;0.351394422;0.080876494;0.324701195;0.520353982;0.23015873;1.703834808;5.260301807;3.552275523;1.708026284;1.848440714;0.425434768;0.154934076;15.047;8.877286136;0.281509695;31.53456625;0.917034709
5;Fe-N-;0.823;1.668;2.407;2.27;1.605;0.952;100;0.533459596;0.913510101;0.658080598;0.307021188;0.056917324;0.341919402;0.466540404;0.185385656;1.974747475;5.625109079;3.701775148;1.923333931;1.727027673;0.320166159;0.146308274;10.05;6.34469697;0.270140665;23.48664156;0.93655303
5;Fe-N-;0.871;1.729;2.626;2.445;1.617;0.986;128;0.488888889;0.896866097;0.668316832;0.341584158;0.068926123;0.331683168;0.511111111;0.201783724;1.7002849;5.203902271;3.477855478;1.726046793;1.777570578;0.35868481;0.167374396;16.735;9.535612536;0.287533512;33.16348229;0.925503027
5;Fe-N-;0.865;1.744;2.546;2.352;1.63;0.973;123;0.522903034;0.884592504;0.660251375;0.315003928;0.076197958;0.339748625;0.477096966;0.241895262;1.820345033;5.27258072;3.481228669;1.791352052;1.660883636;0.401759882;0.164056284;12.924;7.688280785;0.287254902;26.76466348;0.937493652
5;Fe-N-;0.766;1.576;2.661;2.472;1.534;0.894;118;0.427440633;0.900263852;0.712138294;0.407741451;0.07102593;0.287861706;0.572559367;0.174193548;1.621108179;5.325640575;3.792592593;1.533047982;2.171484413;0.378258575;0.143832463;17.292;9.125065963;0.263671875;34.60765758;0.922668933
5;Fe-N-;0.795;1.579;2.661;2.441;1.495;0.903;149;0.420150054;0.88210075;0.701240135;0.406614055;0.082675686;0.298759865;0.579849946;0.203327172;1.500535906;5.093017915;3.571428571;1.521589343;2.070892666;0.421068749;0.156096054;21.131;11.32422294;0.28;40.44365335;0.923998504
3;K;0.675;1.354;2.771;2.416;1.247;0.754;203;0.323950382;0.830629771;0.75640563;0.511367737;0.128112595;0.24359437;0.676049618;0.250529287;1.091603053;4.454833669;3.369661267;1.085172402;2.278058213;0.5707203;0.151520809;40.965;19.54437023;0.296765734;65.85790734;0.903722314
3;K;0.663;1.392;2.687;2.287;1.233;0.742;222;0.360177866;0.802371542;0.75325642;0.48195013;0.148864905;0.24674358;0.639822134;0.308880309;1.126482213;4.152068186;3.127572016;1.024496169;2.001089803;0.618097236;0.159679459;37.75;18.65118577;0.319736842;58.33292669;0.91598565
3;K;0.675;1.521;2.848;2.432;1.29;0.76;168;0.389323516;0.808559595;0.762991573;0.465941011;0.146067416;0.237008427;0.610676484;0.313489073;1.132075472;3.811053125;2.907801418;0.903251706;1.775725947;0.556670681;0.177116397;42.308;19.46985734;0.343902439;56.61447879;0.884107992
3;K;0.676;1.445;2.809;2.38;1.248;0.755;190;0.360525082;0.798874824;0.759344963;0.485582058;0.152723389;0.240655037;0.639474918;0.314516129;1.072667604;3.918235761;2.975292588;0.942943174;1.902624983;0.598406245;0.172526627;42.079;19.72761369;0.336101399;58.69542279;0.896170454
3;K;0.634;1.345;2.794;2.355;1.195;0.712;182;0.329166667;0.796759259;0.773085183;0.51861131;0.157122405;0.226914817;0.670833333;0.302967564;1.038888889;4.082497265;3.156118143;0.926379122;2.117229255;0.641451789;0.155297103;39.627;18.34583333;0.31684492;57.90161744;0.899198718
3;K;0.703;1.478;2.837;2.474;1.324;0.792;162;0.36316776;0.829896907;0.752203031;0.479027141;0.127952062;0.247796969;0.63683224;0.267108168;1.164011246;4.261032137;3.20516129;1.055870847;2.041150044;0.545207848;0.164983501;33.564;15.72820993;0.311996779;50.41144965;0.902912284
3;Fe-;0.803;1.822;2.906;2.641;1.659;0.917;128;0.484545887;0.873989539;0.723675155;0.373021335;0.09119064;0.276324845;0.515454113;0.244464945;1.628150262;4.643184161;3.360157017;1.283027144;1.732006755;0.423414936;0.172941665;23.321;11.0893961;0.29760514;37.26211212;0.913364093
3;Fe-;0.772;1.661;2.934;2.619;1.492;0.873;148;0.41119334;0.854301573;0.736877982;0.433878664;0.107361963;0.263122018;0.58880666;0.247446976;1.332099907;4.396379222;3.239595051;1.156784172;1.907495143;0.472003904;0.175599047;32.215;14.90055504;0.308680556;48.27176436;0.899320574
3;Fe-;0.83;1.757;2.97;2.71;1.625;0.938;133;0.43317757;0.878504673;0.720538721;0.408417508;0.087542088;0.279461279;0.56682243;0.2143446;1.485981308;4.760910988;3.430420712;1.330490276;1.944439404;0.416780087;0.174336383;22.871;10.68738318;0.291509434;36.66222061;0.919643736
